id;nome;id_estado_fk;;;
;Conjunto Residencial (Ant. Bairro F. Lima) Prestes Maia;29;;;
;Santa Etelvina;29;;;
;Cohab Santa Etelvina 1A;29;;;
;Cohab Santa Etelvina 1 B;29;;;
;Cohab Santa Etelvina 2 A;29;;;
;Cohab Santa Etelvina 2 B;29;;;
;Cohab Santa Etelvina 3 A;29;;;
;Cohab Santa Etelvina 4;29;;;
;Cohab Santa Etelvina 5 A;29;;;
;Cohab Santa Etelvina 6 A;29;;;
;Cohab Santa Etelvina 7;29;;;
;Cohab Iva Santa Etelvina;29;;;
;Cidade Tiradentes;29;;;
;Cojunto Habitacional Cidade Tiradentes;29;;;
;Jardim Vilma Flor;29;;;
;ERMELINO MATARAZZO;29;;;
;Jardim Aidar;29;;;
;Jardim Belém;29;;;
;Parque Boturussu;29;;;
;Jardim Cisper;29;;;
;Ermelino Matarazzo;29;;;
;Jardim Fonte São Miguel;29;;;
;Parque Guedes;29;;;
;Jardim Matarazzo;29;;;
;Jardim Metropolitano;29;;;
;Vila Paranaguá;29;;;
;Vila Robertina;29;;;
;Jardim Verônia;29;;;
;GUAIANASES;29;;;
;Vila Abc;29;;;
;Vila Áurea;29;;;
;Vila Bela Vista;29;;;
;Vila Buenos Aires;29;;;
;Parque Central;29;;;
;Vila Cosmopolita;29;;;
;Vila Cruzeiro;29;;;
;Jardim Divino;29;;;
;Vila Gertrudes;29;;;
;Guaianases;29;;;
;Cohab Guaianases;29;;;
;Cj Hab Juscelino Kubitschek;29;;;
;Vila Lourdes;29;;;
;Vila Marilena;29;;;
;Jardim Marpu;29;;;
;Cidade Popular;29;;;
;Vila Popular;29;;;
;Conjunto Residencial Prestes Maia;29;;;
;Vila Princesa Isabel;29;;;
;Roseira;29;;;
;Vila Santa Cruz;29;;;
;Jardim São Carlos;29;;;
;Vila São Geraldo;29;;;
;Jardim São Joao;29;;;
;Vila São Jose;29;;;
;Jardim São Luis;29;;;
;Jardim São Paulo;29;;;
;Jardim Soares;29;;;
;Vila Solange;29;;;
;Vila Zefira;29;;;
;IGUATEMI;29;;;
;Recanto Alegre;29;;;
;Jardim Alto Alegre;29;;;
;Jardim Augusto;29;;;
;Parque Boa Esperança;29;;;
;Vila Eugenia;29;;;
;Sitio dos Francas;29;;;
;Vila Gil;29;;;
;Jardim Helena;29;;;
;Iguatemi;29;;;
;Jardim Iguatemi;29;;;
;Jardim das Laranjeiras;29;;;
;Jardim Limoeiro;29;;;
;Jardim Maria Lidia;29;;;
;Jardim Marilu;29;;;
;Bairro do Palanque;29;;;
;Sítio do Palanque;29;;;
;Vila Palma;29;;;
;Jardim das Rosas;29;;;
;Jardim Roseli;29;;;
;Jardim São Gonçalo;29;;;
;Sitio São João;29;;;
;Chácara São Marcos;29;;;
;Terceira Divisão;29;;;
;Recanto Verde Do Sol;29;;;
;Chácara da Vovó Luiza;29;;;
;ITAIM PAULISTA;29;;;
;Jardim Aimoré;29;;;
;Vila Alabama;29;;;
;Jardim Benfica;29;;;
;Jardim Camargo;29;;;
;Jardim Campos;29;;;
;Vila Carolina;29;;;
;Vila Claudia;29;;;
;Jardim Dalmo;29;;;
;Chácara Dona Olívia;29;;;
;Jardim Elsa;29;;;
;Conjunto Habitacional Encosta Norte;29;;;
;Vila Escolar;29;;;
;Jardim Eva;29;;;
;Jardim Fluminense;29;;;
;Jardim Indaia;29;;;
;Parque Industrial;29;;;
;Conjunto Habitacional Fazenda Itaim;29;;;
;Itaim Paulista;29;;;
;Conjunto Habitacional Itaim Paulista;29;;;
;Fazenda Itaim;29;;;
;Vila Itaim;29;;;
;Jardim Jaraguá;29;;;
;Vila Jurema;29;;;
;Cidade Kemel;29;;;
;Jardim Laura;29;;;
;Jardim Luciana;29;;;
;Vila Luzimar;29;;;
;Conjunto Habitacional Jardim Mabel;29;;;
;Jardim Mabel;29;;;
;Conjunto Habitacional Marechal Tito;29;;;
;Vila Margareth;29;;;
;Jardim Meliunas;29;;;
;Vila Melo;29;;;
;Jardim Miriam;29;;;
;Vila Moderna;29;;;
;Vila Morgadouro;29;;;
;Vila Néila;29;;;
;Jardim Nélia;29;;;
;Jardim das Oliveiras;29;;;
